Date,Open,High,Low,Close,Adj Close,Volume
2023-06-26,3205.000000,3213.899902,3173.000000,3189.649902,3128.473633,1978803
2023-06-27,3202.000000,3209.649902,3182.300049,3197.350098,3136.026123,863542
2023-06-28,3208.000000,3230.949951,3193.399902,3215.449951,3153.778564,1575872
2023-06-30,3220.000000,3310.000000,3214.100098,3302.250000,3238.914307,2672406
2023-07-03,3314.300049,3318.800049,3268.750000,3272.300049,3209.538330,1687264
2023-07-04,3290.000000,3315.000000,3277.300049,3308.850098,3245.387695,1656681
2023-07-05,3320.000000,3329.000000,3305.000000,3319.949951,3256.274414,1453008
2023-07-06,3306.550049,3328.449951,3302.000000,3322.899902,3259.167725,1848238
2023-07-07,3302.000000,3356.899902,3302.000000,3329.250000,3265.396240,1789326
2023-07-10,3324.750000,3324.750000,3265.199951,3271.949951,3209.195313,1407431
2023-07-11,3295.000000,3295.000000,3260.800049,3272.399902,3209.636230,1110172
2023-07-12,3280.949951,3289.149902,3250.100098,3259.899902,3197.376221,1515240
2023-07-13,3284.000000,3367.449951,3272.750000,3340.550049,3276.479736,4585146
2023-07-14,3365.000000,3524.850098,3352.000000,3514.649902,3447.239990,6306101
2023-07-17,3510.000000,3549.899902,3477.050049,3491.699951,3424.730713,2743228
2023-07-18,3476.000000,3524.000000,3465.000000,3496.850098,3429.781982,2600090
2023-07-19,3500.000000,3516.850098,3445.649902,3470.050049,3403.495850,2405370
2023-07-20,3453.100098,3478.899902,3436.050049,3463.300049,3405.708496,1715404
2023-07-21,3404.050049,3434.899902,3359.050049,3368.300049,3312.288330,3770223
2023-07-24,3381.000000,3413.449951,3372.100098,3394.750000,3338.298340,1680132
2023-07-25,3397.500000,3406.800049,3380.199951,3399.149902,3342.624756,1272980
2023-07-26,3400.350098,3420.850098,3385.000000,3388.300049,3331.955566,1066803
2023-07-27,3394.949951,3411.649902,3385.050049,3396.899902,3340.412598,1701769
2023-07-28,3385.000000,3393.699951,3331.000000,3355.399902,3299.602539,2599831
2023-07-31,3364.399902,3426.649902,3360.899902,3421.449951,3364.554199,2743678
2023-08-01,3415.000000,3460.000000,3415.000000,3452.050049,3394.645264,1956167
